sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
144;SDS011;3528;-0.286;36.067;2021-11-08T04:40:03.066176+00:00;P2;22
144;SDS011;3528;-0.286;36.067;2021-11-08T04:40:03.066176+00:00;P1;42
145;DHT22;3528;-0.286;36.067;2021-11-08T04:40:03.067163+00:00;humidity;91
145;DHT22;3528;-0.286;36.067;2021-11-08T04:40:03.067163+00:00;temperature;14
145;DHT22;3528;-0.286;36.067;2021-11-08T04:42:41.210350+00:00;humidity;92
145;DHT22;3528;-0.286;36.067;2021-11-08T04:42:41.210350+00:00;temperature;14
144;SDS011;3528;-0.286;36.067;2021-11-08T04:42:41.213647+00:00;P2;18
144;SDS011;3528;-0.286;36.067;2021-11-08T04:42:41.213647+00:00;P1;31
145;DHT22;3528;-0.286;36.067;2021-11-08T04:45:21.600080+00:00;humidity;92
145;DHT22;3528;-0.286;36.067;2021-11-08T04:45:21.600080+00:00;temperature;15
144;SDS011;3528;-0.286;36.067;2021-11-08T04:45:21.602798+00:00;P2;20
144;SDS011;3528;-0.286;36.067;2021-11-08T04:45:21.602798+00:00;P1;28
144;SDS011;3528;-0.286;36.067;2021-11-08T04:48:01.572119+00:00;P2;14
144;SDS011;3528;-0.286;36.067;2021-11-08T04:48:01.572119+00:00;P1;16
145;DHT22;3528;-0.286;36.067;2021-11-08T04:48:01.572131+00:00;humidity;92
145;DHT22;3528;-0.286;36.067;2021-11-08T04:48:01.572131+00:00;temperature;15
144;SDS011;3528;-0.286;36.067;2021-11-08T04:50:41.588441+00:00;P2;16
144;SDS011;3528;-0.286;36.067;2021-11-08T04:50:41.588441+00:00;P1;27
145;DHT22;3528;-0.286;36.067;2021-11-08T04:50:41.589311+00:00;humidity;91
145;DHT22;3528;-0.286;36.067;2021-11-08T04:50:41.589311+00:00;temperature;15
144;SDS011;3528;-0.286;36.067;2021-11-08T04:53:21.949877+00:00;P2;19
144;SDS011;3528;-0.286;36.067;2021-11-08T04:53:21.949877+00:00;P1;28
145;DHT22;3528;-0.286;36.067;2021-11-08T04:53:21.951179+00:00;humidity;91
145;DHT22;3528;-0.286;36.067;2021-11-08T04:53:21.951179+00:00;temperature;15
145;DHT22;3528;-0.286;36.067;2021-11-08T04:56:01.889288+00:00;humidity;90
145;DHT22;3528;-0.286;36.067;2021-11-08T04:56:01.889288+00:00;temperature;16
144;SDS011;3528;-0.286;36.067;2021-11-08T04:56:01.890218+00:00;P2;15
144;SDS011;3528;-0.286;36.067;2021-11-08T04:56:01.890218+00:00;P1;21
144;SDS011;3528;-0.286;36.067;2021-11-08T04:58:42.333543+00:00;P2;14
144;SDS011;3528;-0.286;36.067;2021-11-08T04:58:42.333543+00:00;P1;22
145;DHT22;3528;-0.286;36.067;2021-11-08T04:58:42.335677+00:00;humidity;90
145;DHT22;3528;-0.286;36.067;2021-11-08T04:58:42.335677+00:00;temperature;16
144;SDS011;3528;-0.286;36.067;2021-11-08T05:01:22.343639+00:00;P2;17
144;SDS011;3528;-0.286;36.067;2021-11-08T05:01:22.343639+00:00;P1;28
145;DHT22;3528;-0.286;36.067;2021-11-08T05:01:22.459897+00:00;humidity;89
145;DHT22;3528;-0.286;36.067;2021-11-08T05:01:22.459897+00:00;temperature;16
144;SDS011;3528;-0.286;36.067;2021-11-08T05:04:02.735703+00:00;P2;15
144;SDS011;3528;-0.286;36.067;2021-11-08T05:04:02.735703+00:00;P1;16
145;DHT22;3528;-0.286;36.067;2021-11-08T05:04:02.776129+00:00;humidity;86
